Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2023-02-03 14:02:36,false,"Running","18.01","1,372","01:50:53","157","181","5.0","154","160","6:09","4:45","115","116","1.05","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","17.0","0:00","No","00:03.83","19","26.0","01:50:49","01:50:53","39","74"
Running,2023-01-30 15:03:30,false,"Running","5.01","357","00:30:04","142","172","3.1","155","158","6:00","5:22","36","36","1.07","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","21.0","0:00","No","00:02.16","6","28.0","00:30:03","00:30:04","49","76"
Running,2023-01-28 21:00:41,false,"Miles Repeats","10.47","781","01:05:56","148","171","3.7","156","172","6:18","5:05","44","52","1.01","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","20.0","0:00","No","00:02.16","14","28.0","01:05:49","01:05:56","65","77"
Running,2023-01-22 13:18:37,false,"Running","6.01","509","00:40:18","159","171","3.4","151","160","6:42","4:54","32","33","0.99","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","26.0","0:00","No","00:01.99","7","30.0","00:40:16","00:40:18","-4","7"
Running,2023-01-19 14:02:25,false,"Running","12.01","928","01:11:08","158","176","4.5","156","160","5:55","4:35","103","101","1.09","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","25.0","0:00","No","00:03.62","13","30.0","01:11:04","01:11:08","45","75"
Running,2023-01-17 12:57:54,false,"Running","8.01","608","00:47:58","154","173","3.8","156","162","5:59","5:13","68","68","1.07","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","22.0","0:00","No","00:02.17","9","25.0","00:47:55","00:47:58","47","75"
Running,2023-01-13 07:33:21,false,"Running","21.30","1,376","01:58:43","148","179","4.6","159","179","5:34","4:45","55","73","1.13","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","14.0","0:00","No","01:46.19","22","20.0","01:58:25","01:58:43","-140","-86"
Running,2023-01-10 13:22:40,false,"Last Mile","4.83","315","00:27:35","138","160","2.8","163","178","5:42","4:33","16","21","1.08","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","21.0","0:00","No","00:01.28","7","25.0","00:27:34","00:27:35","68","76"
Running,2023-01-08 22:13:53,false,"Running","5.01","382","00:29:52","154","169","3.3","160","165","5:58","5:23","29","37","1.05","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","17.0","0:00","No","00:02.84","6","26.0","00:29:51","00:29:52","38","70"
Running,2023-01-06 13:57:40,false,"Running","16.02","1,123","01:40:20","144","164","3.7","154","162","6:16","5:10","128","154","1.03","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","15.0","0:00","No","00:03.58","17","26.0","01:40:16","01:40:20","43","73"
Running,2023-01-04 21:27:35,false,"Miles Repeats","12.88","896","01:18:03","147","165","3.5","161","180","6:04","4:53","64","70","1.02","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","18.0","0:00","No","00:01.36","17","26.0","01:17:57","01:18:03","61","78"
Running,2023-01-02 14:03:34,false,"Running","5.04","397","00:30:28","159","180","3.5","160","163","6:03","5:27","43","49","1.03","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","19.0","0:00","No","00:11.03","6","25.0","00:30:26","00:30:28","38","73"
Running,2022-12-30 08:29:09,false,"Running","21.01","1,592","02:12:45","157","181","5.0","154","160","6:19","4:45","186","184","1.03","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","19.0","0:00","No","00:02.49","22","26.0","02:12:39","02:12:45","43","77"
Running,2022-12-28 20:26:22,false,"Tempo Run","11.27","739","01:04:49","143","156","3.3","162","171","5:45","4:56","47","53","1.07","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","17.0","0:00","No","00:02.26","14","26.0","01:04:44","01:04:49","61","77"
Running,2022-12-27 13:17:03,false,"Running","5.01","328","00:29:52","134","149","2.8","158","162","5:58","5:13","40","42","1.06","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","21.0","0:00","No","00:02.47","6","25.0","00:29:50","00:29:52","44","74"
Running,2022-12-23 13:31:43,false,"Tempo Run","9.66","699","00:57:13","150","166","3.9","164","178","5:55","5:09","40","44","1.03","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","24.0","0:00","No","00:01.66","12","28.0","00:57:08","00:57:13","59","78"
Running,2022-12-22 08:35:08,false,"Running","17.53","1,372","01:49:43","159","186","4.8","156","160","6:16","5:15","123","119","1.03","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","21.0","0:00","No","03:17.80","18","26.0","01:49:36","01:49:43","40","71"
Running,2022-12-18 23:49:40,false,"Running","5.01","355","00:30:25","142","160","3.1","155","159","6:04","4:59","32","37","1.06","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","20.0","0:00","No","00:03.08","6","28.0","00:30:24","00:30:25","91","122"
Running,2022-12-16 13:36:10,false,"Running","15.01","1,069","01:30:43","149","175","4.2","153","164","6:03","4:35","96","94","1.08","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","26.0","0:00","No","00:01.96","16","31.0","01:30:39","01:30:43","44","74"
Running,2022-12-14 19:16:11,false,"Miles Repeats","10.47","786","01:02:32","157","174","4.2","160","177","5:58","4:49","51","56","1.04","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","21.0","0:00","No","00:02.08","14","26.0","01:02:27","01:02:32","64","78"
Running,2022-12-12 22:50:23,false,"Running","6.01","415","00:36:21","140","162","3.1","154","158","6:03","4:51","37","42","1.08","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","18.0","0:00","No","00:03.20","7","27.0","00:36:18","00:36:21","40","70"
Running,2022-12-09 14:42:41,false,"Running","8.01","594","00:46:51","155","171","4.1","158","167","5:51","4:55","49","49","1.08","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","23.0","0:00","No","00:02.76","9","28.0","00:46:46","00:46:51","43","72"
